"['computer_unix_time_ms', 'sensor_unix_time_ms', 'device_id', 'accel_x', 'accel_y', 'accel_z', 'gyro_x', 'gyro_y', 'gyro_z', 'mag_x', 'mag_y', 'mag_z']"
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.79,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704315805.79,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
